종목,한 국가의 최대 메달 수
육상,34
수영,28
체조,12
다이빙,11
레슬링,11
사이클,11
사격,10
유도,10
조정,8
양궁,7
카누,7
펜싱,7
탁구,6
배드민턴,5
복싱,5
승마,5
역도,5
스케이트보드,4
요트,4
태권도,4
농구,3
트라이애슬론,3
배구,2
서핑,2
스포츠 클라이밍,2
아티스틱 스위밍,2
테니스,2
필드 하키,2
핸드볼,2
7인제 럭비,1
골프,1
근대 5종,1
브레이킹,1
수구,1
축구,1
